#,What is your Artist name? ,Have you heard of botted playlists and fake streams before? ,Are you aware of how botted playlists and fake streams can affect your career?,Were you aware that several agencies use botted playlists and pay for fake streams for their artists?,Did you know that when you use botted playlists or fake streams you are at risk of having your music removed from Spotify?,Do you know about algorithmic playlists such as 'Discover Weekly' and 'Release Radar'?,Did you know that Liberty Music PR does not work with botted / fake playlists?,Did you know that Liberty Music PR only uses organic playlists and is a trusted agency when it comes to playlisting services? ,Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID,Tags,Ending
bllr67lssrulrllmrtgojbllr67b61k3,Apolloïd,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-08-08 17:10:53,,2023-08-08 17:11:44,07bc1bd094,,
a14t4yzcls1daahid51ja14t4yzya8ld,Saint Rock,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2023-08-07 17:52:09,,2023-08-07 17:52:52,12435fa72c,,
cmmg9j6gqkdw8ocpcqscmmg91irsj957,Soulis,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-08-05 06:42:09,,2023-08-05 06:42:44,bbf3006daf,,
r28vqpjybcgz91myct3r28vq9qvd7cjl,Grace Amulet,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-08-04 17:08:59,,2023-08-04 17:09:46,cf24153372,,
1wt7nc2u7w8cck1wt7yxr1du1o0yq64k,TiANYU,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-08-04 16:22:06,,2023-08-04 16:22:54,0f1ae04517,,
iqw4bvwyfdoqc5iqw8v06zju9k2k3fyj,Szarr,Yes,Yes,Yes,Yes,Yes,No,Yes,completed,2023-08-04 13:01:23,,2023-08-04 13:02:07,0af25a1f83,,
vxokohcl98vq08f76u6vxokoh7zxkz3z,Rok Ali and The Addiction,Yes,Yes,Yes,Yes,No,Yes,Yes,completed,2023-08-04 12:55:54,,2023-08-04 12:57:00,9e3e782949,,
sv36xb1v51yzcazxl19prsv36xxyxuak,Tamara Dos Santos,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-08-03 17:56:07,,2023-08-03 17:57:15,7f10e80372,,
2vq7tdc6p4a9ostky2vq7t1xd98niq5n,Tamara Dos Santos,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2023-08-03 17:54:45,,2023-08-03 17:55:58,7f10e80372,,
c3vx3qkam5zbwfc3dgwy47mmue0a9d0e,Rya,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-08-03 16:03:01,,2023-08-03 16:03:32,528eeb4c58,,
qvjzbri6p3lday5ipvltppqvjze54s6p,Hazel Bloom,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-08-03 14:32:04,,2023-08-03 14:32:50,426dcddf73,,
19s3iam0kglk17xu921yn19s3ia6wghd,I BORN,Yes,Yes,No,Yes,No,Yes,Yes,completed,2023-08-03 00:53:38,,2023-08-03 00:55:22,253d153ff1,,
wunek872nesx66toyhjywcgwunek8yed,Avery Morae,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2023-08-02 20:03:31,,2023-08-02 20:04:17,7407f57f56,,
z1iqiqju276lb6w15t70dz1iqiqjob0u,SaRap Fresh,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-08-02 14:08:31,,2023-08-02 14:10:04,057b34cba4,,
jol1ql8ttgli5y9srjol1q87hpz0kux4,OLSO,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2023-08-01 23:40:36,,2023-08-01 23:41:04,7680a8d7cd,,
08zh1kms3b8bkxdk08zh2luoif8a9znz,Taylor John Williams,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-29 01:35:48,,2023-07-29 01:36:08,be34b3337a,,
atml33g4wjixatm87bqw1r7qn464u154,Taylor John Williams,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-29 01:34:34,,2023-07-29 01:35:37,be34b3337a,,
mlgbaec0ht5vtbfsf6mlgbaeo5060r6g,Lisa Ramey,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-28 18:40:39,,2023-07-28 18:41:26,00a043c3d7,,
c2uyoeym6j7htc0flc2uyoeye41nb6c2,Law OS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-28 14:31:26,,2023-07-28 14:32:11,18c4ab1f6c,,
3tud7pcxbh76t2itf3tudwdh03b333gt,Moodyy,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-27 22:41:30,,2023-07-27 22:41:51,b338834445,,
st0aq4m88rpnpov3a7xest0aqxu8y8md,Slick Naim,No,No,No,No,Yes,Yes,Yes,completed,2023-07-27 19:16:45,,2023-07-27 19:17:20,c0e250bec8,,
i6i2h8n2vv9bs7sfamvy5iji6i2hk69y,Fourth born,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-26 23:56:10,,2023-07-26 23:56:49,105bbf2739,,
vl73j8ii727d7h18tod8vl73jo1wb7rl,Spencer Flay,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-26 22:15:35,,2023-07-26 22:16:15,6e38fb0ca3,,
fna9eb8g970khovfns33rnqw6owyng67,ZeXzy,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-26 15:34:15,,2023-07-26 15:34:54,02a8fef844,,
bryhuk4uycbryc7cnmhrefrrao11jz0y,Oliver Munch,Yes,Yes,Yes,Yes,Yes,No,No,completed,2023-07-26 13:56:13,,2023-07-26 13:56:51,67180e45a5,,
x72tp3zvcfwzh4k1pj5yx72tp3jcg760,Rexford,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-26 03:06:52,,2023-07-26 03:07:09,3d56810af2,,
6x86mkge3huws88hb6x86mkgpkjpfesc,Rexford,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-26 03:06:16,,2023-07-26 03:06:45,3d56810af2,,
urfholpf0xpvin5av3pxvourfhol02e3,Kay Sebastene,Yes,No,Yes,No,Yes,Yes,Yes,completed,2023-07-25 06:25:46,,2023-07-25 06:27:11,c3235b4a7c,,
iavpa4mtvsmfciidjl1khciavpak8pxy,Rexford,No,No,No,No,Yes,Yes,Yes,completed,2023-07-25 02:51:46,,2023-07-25 02:52:27,d05426999b,,
wg51j77h65uor7kvfl9nlwg51j77hhql,Matt Wescott,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-24 21:12:08,,2023-07-24 21:12:50,31cf66603a,,
wna79nw56lom72cwna75fd9f77lizapm,Casey McQuillen,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-24 16:43:54,,2023-07-24 16:44:11,4cfc212f8f,,
rwtfmg5e6qpssook6rwtfmpu92vcwl6q,Casey McQuillen,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-24 16:43:19,,2023-07-24 16:43:45,4cfc212f8f,,
3fo72ib8r6phn4gvtodj3fo72ib1kubr,Azul Kechi,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-24 11:59:32,,2023-07-24 11:59:56,0f11bf00f6,,
94i4nvkeppam2f8xb94i4n34ayiaghri,Rico Loma,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-24 04:18:37,,2023-07-24 04:19:30,add162a171,,
alnbmnmpkhn9bf0saeqkyralnbmnmp0j,Rico Loma,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-24 04:15:19,,2023-07-24 04:18:04,add162a171,,
yzkfqz0gzb5ia1yzkfqzkjclekgqverg,Walker Deuce,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-22 07:57:46,,2023-07-22 07:58:30,a78da1bb71,,
maw6qpiat976q0tqhmaw6qpplw81eqdz,Rod212,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-21 12:51:09,,2023-07-21 12:51:52,ff988eaeb8,,
qumhokl9kbgxqetrqumhho4f12x2ksk3,Lexa Terrestrial,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-21 04:16:05,,2023-07-21 04:16:26,93b238892a,,
yxf2dhccmosoi1kffjyxf2d11vmhh5xx,FASINA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-20 21:49:44,,2023-07-20 21:50:32,42bc557d22,,
wgalzeueux5ihx2quvwgalek2h8rz7hj,The Corner Store,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-20 19:40:25,,2023-07-20 19:40:51,ebb0b2a242,,
hd2iyc2wks6ayrrrlhd2iyct7l6gc09n,NIKKI,No,No,No,No,Yes,No,Yes,completed,2023-07-20 09:54:20,,2023-07-20 09:54:48,c87a9e5843,,
01m4u5dxj4qgznj9bwb5801m4u5dz58f,Call Me Cannon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-19 16:36:12,,2023-07-19 16:36:53,59ac20ab22,,
vczcbyb86y21uvr3vcsccgq3kdzscdc1,Japes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-19 13:32:36,,2023-07-19 13:33:16,ae4b0e46bf,,
ees5nh0899n8wf4cu1ees5ngoi2fdv2x,Pedro Ferro,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-19 00:04:25,,2023-07-19 00:05:18,57ba36a345,,
sdefldic6idrw1j3jcp43agsdefldicu,Fasina,Yes,Yes,,Yes,No,No,No,completed,2023-07-18 21:13:36,,2023-07-18 21:17:07,7bcfbd958e,,
b3cfnykgehedjj0jpb3cfnyx4742egzh,Neeley,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-18 19:37:48,,2023-07-18 19:39:29,6a18cf32df,,
6po33gs8c7doz9bonda5b6po33gwye9m,Iglu & Hartly,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-18 16:27:51,,2023-07-18 17:48:05,19ae882164,,
93zjk05mrbj2f7y93zjk0oe3bb6sr0e2,Iglu & Hartly,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-18 16:26:38,,2023-07-18 16:27:41,19ae882164,,
1gso3vovsmbitmr1tg4hyeok1gso3vov,Matthew Thomas,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-18 13:23:53,,2023-07-18 13:24:33,a02fa09b78,,
15aay55wp739ey2wx115aaye6iidzomy,Lexa Terrestrial,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-18 03:21:30,,2023-07-18 03:21:51,93b238892a,,
22m6r2naqdy5ann8j7jg22m6r22ebsag,Lexa Terrestrial,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-18 03:21:03,,2023-07-18 03:21:26,93b238892a,,
3h10ghghez8vgf9jjtkmc3h10ghgu1ru,Lexa Terrestrial,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-18 03:20:14,,2023-07-18 03:20:57,93b238892a,,
5nj324xg4z107o3tju5nj3q82ox36puu,Lexa Terrestrial,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-18 00:37:37,,2023-07-18 03:20:08,93b238892a,,
8t3n9pnnjqev6z38t3n9ml9dn5oq9t11,Cindy Zhang,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2023-07-17 17:51:47,,2023-07-17 17:52:31,c2f37750a9,,
f8ztxobxoqcwom1x32m9f8ztxoshkewo,D.WHITE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-17 15:09:54,,2023-07-17 15:10:16,7b34f480c3,,
p5vuq3vbohugnp58k8si1gj30uwhbzdd,TrUth Speaks Volumes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-16 14:39:58,,2023-07-16 14:40:28,7045f447e0,,
o83rxiijtcc107lo83rxv564m5xe834y,dye-dye,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-16 10:20:32,,2023-07-16 10:21:25,017616c676,,
1a2y53kz1iwkmgjz21a2y5e1ee2omrs9,Mark Duggan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-15 11:08:59,,2023-07-15 11:09:26,59cf2a99cb,,
22h5lgfcmzgiuj6z22h5lwrqyynns6e3,David Shabani,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-14 17:15:33,,2023-07-14 17:15:57,7314560a10,,
xta8vwd7ul71vexta8vexxoyrv53lc05,Muo Duo,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-13 16:16:25,,2023-07-13 16:16:54,66b6f0cf31,,
a2k00qdmj3x1kexpk9a2k00quqkbtv6k,Kizzy,No,Yes,No,Yes,Yes,Yes,Yes,completed,2023-07-13 13:11:32,,2023-07-13 13:12:10,b7ecbfea6b,,
ujx48raw89l39xur6ujxw5odf0kfs9fk,Modeste,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-13 11:51:17,,2023-07-13 11:52:05,1f3cbdb831,,
bw0pfigs7t01297p38ubw0pfij2uq348,King Kay,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-12 16:26:31,,2023-07-12 16:26:58,f7eef6c3ab,,
bnskj6cm13id1jf863bnskj4mcs5mqcu,Anna Vitale,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-12 15:26:34,,2023-07-12 15:27:05,255818ee20,,
i0qqcx92plqaj1ipomi0qqml7et0rs22,TEASERS,Yes,No,Yes,No,Yes,Yes,Yes,completed,2023-07-12 06:56:14,,2023-07-12 06:57:08,f2c2bd38e8,,
qgdh411c4d6q5zx5izmqgdh4j2bu9r94,Dave & I,No,No,No,No,Yes,No,No,completed,2023-07-12 03:25:50,,2023-07-12 03:26:42,f2e7aff049,,
8z53h1jdxx4jjeq0o8z53h1jxvx92g16,Marco Spiezia,Yes,No,Yes,Yes,Yes,No,No,completed,2023-07-11 12:50:34,,2023-07-11 12:51:24,c9182176fe,,
j5sq8zteam7qv0fogurj5sqqt0cjkdet,Dontmesswithjuan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-10 13:15:39,,2023-07-10 13:16:20,c0b37ee198,,
pisjtdtlmgsgq0mh1pisjtdtol4dra6t,Adreyn Cash,Yes,Yes,No,No,Yes,Yes,Yes,completed,2023-07-08 23:46:57,,2023-07-08 23:47:42,7b160edc1c,,
9t2j6ejbbv5f92bjyjuwyn5pcqguj8o2,Ruby Dice,Yes,Yes,No,No,Yes,Yes,Yes,completed,2023-07-07 16:48:19,,2023-07-07 16:49:12,51e77783d5,,
ztx7mffuzg98z74q8rmztxh7g0239mst,Cabo Don,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-05 22:25:29,,2023-07-05 22:25:56,17bf802ff2,,
izez3edsr2hukidfa5xiz469vqezxfh0,Sage of New England,No,No,No,No,No,No,Yes,completed,2023-07-05 19:55:48,,2023-07-05 19:56:41,d0ce8b3bba,,
1sa5tjqr3krkdob1saxcaadmpied38ru,Herman Suede,Yes,No,No,No,Yes,Yes,Yes,completed,2023-07-05 13:35:54,,2023-07-05 13:36:36,62ae3a78df,,
vob22w4ttu0gbfo6ivo4rskfilm47231,Modeste,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-04 22:49:18,,2023-07-04 22:49:42,1f3cbdb831,,
bkzdzcw4fcj3ahtad4dyazqrbkzdzsyf,Sú North,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-04 00:45:45,,2023-07-04 00:46:08,c66871cc62,,
u22jwt94q1267iutu2236ricofm5yy1k,Sú North,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-04 00:44:45,,2023-07-04 00:45:38,c66871cc62,,
d1poiy7qe0wpccmzajlsd1poiy14zcdu,The New Hippies,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-07-03 21:08:57,,2023-07-03 21:09:30,95b8f304ec,,
c9t8yprp69nfxpkc9t8yr7u0qwi3cjac,Modeste,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-06-30 15:59:49,,2023-06-30 16:01:14,1f3cbdb831,,
ft2et76638ju4fn4lft2et7g0wzqdg8e,Anthony Hanzo,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-06-30 15:58:21,,2023-06-30 15:59:07,dcd83b13f1,,
qi8a2fs2zednrs5qiwpcsdvb4cykg5dw,J The Producer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-06-30 14:18:26,,2023-06-30 14:19:22,b4b91e44c2,,
zfhp99zkwqp1mlnkqc4kmgzfhpv8dkgy,Tamina,No,No,No,No,Yes,No,Yes,completed,2023-06-29 17:48:25,,2023-06-29 17:49:20,e5ca5e3a72,,
7o76qk8f84tk7kb7o76r3kclg2oxjibe,CRFT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-06-29 12:44:00,,2023-06-29 12:45:26,d7bb686566,,
e1zmfkl0d8xnbkoe1zmse9l64flgta8u,Sabrina Francis,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-06-29 12:18:55,,2023-06-29 12:19:46,5a0b205d71,,
jb052ol019qzbb4ojs6ujb052olh44op,Sonya Glass,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-06-28 18:21:12,,2023-06-28 18:22:18,641d07b7b8,,
3jemcz0d8a3fmviq9lo3je96g6oem0ox,Tom Seth Johnson,Yes,No,Yes,Yes,Yes,Yes,Yes,completed,2023-06-28 10:14:39,,2023-06-28 10:15:16,369077b8a1,,
hedjx7io4xwflqnvfpyhedjx76dmrymo,Tom Seth Johnson,Yes,No,Yes,Yes,Yes,Yes,No,completed,2023-06-28 10:12:42,,2023-06-28 10:13:36,369077b8a1,,
obasayinjg3tv8diyyobasay6a8q4amb,Bootie Brown,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2023-06-27 19:49:22,,2023-06-27 19:50:11,02317eb1f8,,
nq5q82yjh131zguwis5y5nq5q82ygmz6,Bootie Brown,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2023-06-27 19:48:04,,2023-06-27 19:49:11,02317eb1f8,,
gwh6fj0ngw38xh1w723fth5xgwh6fj0z,Blendin´Era,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-06-27 16:43:40,,2023-06-27 16:44:26,50ce65a2ad,,
faef6tp17c37urzneakzfaef6ttjok94,Daniela,Yes,No,No,No,Yes,Yes,Yes,completed,2023-06-27 15:45:21,,2023-06-27 15:46:44,64d9634b8d,,
xaimyprw7ubvznvg5xaikfutzel3q1q7,Blendin Era,Yes,Yes,Yes,Yes,Yes,No,No,completed,2023-06-27 15:17:35,,2023-06-27 15:44:51,50ce65a2ad,,
a3p322cjihoaa36ghy2ow6g3gqxab06g,The Exchange Project,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-06-27 12:55:29,,2023-06-27 12:56:16,7901fe5f47,,
i28o4shqtixvvowep0i28o4sh9rp44fq,Sarina,Yes,,Yes,Yes,Yes,Yes,Yes,completed,2023-06-26 15:06:31,,2023-06-26 15:07:09,5ac454b45e,,
72bgkriezl6fktze72b79s3qg0f162tc,Suave n Thick,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-06-26 00:53:02,,2023-06-26 00:53:51,aaf61c00c3,,
5mpsv69ad6vkwp655mpsv601iuoeit58,Diving At Dawn,Yes,Yes,Yes,Yes,No,Yes,Yes,completed,2023-06-25 20:30:32,,2023-06-25 20:31:14,4b706a1c1b,,
bvxlolldh3ews59jzhbvxf83qrvmeubm,Paradise Walk,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2023-06-23 19:08:13,,2023-06-23 19:09:30,104ab8e7b1,,
wlvc1vi34dnwa7182hywlvc1vi6lvhk4,Ipe,Yes,No,Yes,Yes,Yes,Yes,Yes,completed,2023-06-23 14:54:53,,2023-06-23 14:55:47,3b83bad4f4,,
106d53tvdjoh3j0l41g106d5rf52hdqc,Ruby Cannon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-06-23 06:07:28,,2023-06-23 06:08:19,841a786dca,,
e9tt2c9lhtgpcllmxe9ttvzqt1kjbpna,Umbra Moon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-06-23 05:40:56,,2023-06-23 05:41:34,f9929ef61a,,
u64y97t3i23lt0lcqanx4u64y97t3agk,Smokiecoco,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-06-22 10:50:27,,2023-06-22 10:51:41,fdd68282ac,,
7d51r514hjgxvu6q7d5igiukik6m6kpn,TMT,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2023-06-22 06:09:19,,2023-06-22 06:10:13,7f85fe743d,,
7fn6t5hiafxgs3imd7fn6jasvy2zmhvi,Shanelle Rudrigo,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2023-06-21 19:04:02,,2023-06-21 19:05:03,504d009995,,
qaosj9cmuge8atefgqaosj9cmx0o1nan,Cheap House,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-06-21 16:07:14,,2023-06-21 16:07:40,3804dadd56,,
e37vyo26ksy2mh9fd7e374fh6gicpg4x,Mr. Dutch,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2023-06-21 11:11:59,,2023-06-21 11:13:25,a0d663d0d9,,
1v6lh3enggm5xgu1v6lh46sqi8scxh89,Tobias Floor,Yes,Yes,No,Yes,No,Yes,,completed,2023-06-21 09:42:14,,2023-06-21 09:43:54,b51754c289,,
qd2zbddr7pgyzpwesvt5g83qd2zbd8pg,Jordan Levy,Yes,Yes,Yes,No,Yes,Yes,Yes,completed,2023-06-20 21:15:15,,2023-06-20 21:16:25,ca3c35909c,,
fcfh16gmb6ktkmem4ysyfcfh16gmzdfv,Lucy Lane,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-06-20 19:35:21,,2023-06-20 19:35:58,d1c93e1f13,,
17ry53yhtsot8iq0p17ry51cxx4cvduy,Synthia Looper,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-06-20 12:30:58,,2023-06-20 12:31:35,9325f5cbe1,,
nqoi7hc4jcxaa3nnqokytr6ei7hj2a69,Summon Luke,Yes,No,Yes,No,Yes,Yes,Yes,completed,2023-06-20 11:23:33,,2023-06-20 11:24:14,581a37b690,,
jysds0k50i9trzdtjyslvlcdkphb5yez,Olga Dudkova,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2023-06-20 09:56:15,,2023-06-20 09:57:26,c880275b67,,
ogzunstkdlkjb08fogzunsts8ci9c27g,Grace Amulet,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2023-06-19 18:38:12,,2023-06-19 18:39:00,536de23f4c,,
spkv5ni0oh1lhhhcc7kspkv52adz3ytu,Eloe,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-06-19 13:07:36,,2023-06-19 13:08:06,597b092554,,
fen9h4a6rbccw6bqfen9h4a6subgky89,Rob: Earth-One,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-06-17 16:57:36,,2023-06-17 16:58:09,5e281c4fd6,,
ekrj0m16odypuzekrj4ibf0l385e5y05,Ducktail,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2023-06-17 15:26:16,,2023-06-17 15:27:32,da8bf1319b,,
s9aimh77mriajgjis7fs9ahfzwsthh20,Synthia Looper,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-06-15 18:54:28,,2023-06-15 18:55:27,9325f5cbe1,,
kfejle0yk1fiqliw4ca6rqkfejle259i,Hashemi,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-06-15 18:44:31,,2023-06-15 18:44:49,b6fceb7055,,
mozcjphugotm02tcncefdbmozcjphxnm,Hashemi,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-06-15 18:43:50,,2023-06-15 18:44:22,b6fceb7055,,
sqog6m5fzh0oc9fzcpqdp9sqog6m5iq0,Kodiak Arcade,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-06-15 13:44:36,,2023-06-15 13:45:29,bf8172b89e,,
mykdyyj8gal1dudgomxdcmykdysbw897,K Rose,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-06-15 12:25:02,,2023-06-15 12:26:17,00debce443,,
4mlt8ais14p2ecd9r8754mlt8ai5tp3g,TRACE,Yes,No,No,No,Yes,No,Yes,completed,2023-06-14 21:35:05,,2023-06-14 21:35:51,5ef725954c,,
ofd5w2mn3rijr3jc02ofd5w2mn3krig0,Bianca Raquel,Yes,Yes,No,No,Yes,Yes,Yes,completed,2023-06-14 16:47:36,,2023-06-14 16:52:20,31a4c7ad5f,,
3mveft1i6konqv7r12ttg3mveft1i6uc,Cole Blu,Yes,No,Yes,Yes,Yes,Yes,Yes,completed,2023-06-14 15:15:48,,2023-06-14 15:16:20,cbc7f1bd24,,
x8syyysal99ybgu8x8st4f8o4v03jo78,APB,Yes,No,Yes,Yes,Yes,Yes,Yes,completed,2023-06-14 02:19:12,,2023-06-14 02:20:12,41f81be623,,
v6r4yd7v9i1jbpqhjmv6r4y8tu1gesbm,Rob: Earth-One,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2023-06-13 22:53:30,,2023-06-13 22:54:18,5e281c4fd6,,
c9fmp06tlzyd3g8ztyc9fmp06cnq1hpv,Adosa Gray,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-06-13 20:43:53,,2023-06-13 20:44:28,b4ca5b6f45,,
l5748n2uhf02d7xyc1il5748n2uj1ch8,Adonye B,Yes,No,No,No,Yes,Yes,Yes,completed,2023-06-13 18:35:48,,2023-06-13 18:36:35,0646e0bfb6,,
u2qahm4ld9ajcsfju2qahwc60lkrqy32,Blue Capricorn,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-06-13 18:17:17,,2023-06-13 18:18:11,460f74e65a,,
c5psox8v1cc5r1pz9c5p1jvg5zf0eoo9,The Erly,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-06-13 14:50:46,,2023-06-13 14:52:05,dc51eecf70,,
9rrqdvhz76zyq5m1hx69rrqdvzjzewro,LYZZA,Yes,Yes,Yes,No,Yes,No,Yes,completed,2023-06-13 10:05:59,,2023-06-13 10:06:35,3786ab166e,,
udzvld8i2c4fsrudz1vxpo8bzdk34t61,Geshie,No,No,No,No,No,Yes,Yes,completed,2023-06-13 01:02:46,,2023-06-13 01:03:20,6805bfeb9a,,
fqv7rkn0j9prmfqvcjuxyqby32kemswx,Roni Kaspi,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-06-12 21:23:24,,2023-06-12 21:23:58,65baa539bc,,
6c58dfgwrho7wa9r3nzj6c58dfl2406x,The Rosecaps,Yes,No,No,Yes,Yes,Yes,Yes,completed,2023-06-12 20:44:30,,2023-06-12 20:45:54,2bee4e9956,,
u67ghf940uxt54d76u67gh8j7lrpsys4,D.WHITE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-06-12 16:25:43,,2023-06-12 16:26:15,7b34f480c3,,
lil35cmkwnk05dod24ilil35cf7ki6od,HJ Soul,Yes,No,Yes,No,No,Yes,Yes,completed,2023-06-12 13:18:14,,2023-06-12 13:19:00,a753bd7aec,,
87hbp0a5paylk3pm8687hb9wz48juwbm,Lost Romantic,No,No,No,No,Yes,No,No,completed,2023-06-12 10:07:27,,2023-06-12 10:08:20,bb97b701e6,,
ud8rsvzrfw9z4dtf0174qud8rsvhxzj8,Lance Rodriguez,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2023-06-11 23:48:46,,2023-06-11 23:49:24,0f21cf8004,,
